id,eui,name,connected_at,disconnected_at,is_connected,last_connected,downtime_duration,last_uplink_received_at,last_downlink_received_at,last_status_received_at
eui-000080029c07ae5a,000080029C07AE4C,IDU00337-Concentrix-MACTAN-3F UPS ROOM,2022-09-13 11:12:30,,True,2022-09-29 17:47:38,0.0,2022-09-29 17:42:01,2022-09-29 15:51:39,2022-09-29 17:47:38
eui-000080029c07ae5d,000080029C07AE4E,IDU00338-Meralco TSB Bldg-PWX,2022-09-27 18:24:09,,True,2022-09-29 17:48:00,0.0,2022-09-29 17:48:00,2022-09-29 17:46:13,2022-09-29 17:47:53
eui-000080029c07ae65,000080029C07AE4F,IDU00469-BPI Calamba Real-PWX,2022-09-22 22:46:57,,True,2022-09-29 17:47:58,0.0,2022-09-29 17:47:58,2022-09-29 17:25:14,2022-09-29 17:47:56
eui-000080029c07ae74,000080029C07AE50,IDU00383-Concentrix-UPA-D-2F HUB ROOM,2022-09-22 22:47:00,,True,2022-09-29 17:47:29,0.0,2022-09-29 17:46:24,2022-09-29 15:45:55,2022-09-29 17:47:29
eui-000080029c07ae78,000080029C07AE58,"IDU00346-S Luzon Expy, Putatan, Muntinlupa-PWX",2022-09-22 22:46:56,,True,2022-09-29 17:47:58,0.0,2022-09-29 17:47:58,2022-09-29 17:47:51,2022-09-29 17:47:50
eui-000080029c07ae86,000080029C07AE5A,IDU00388-ULPI Cold Storage 3 (Right Middle)- GSM ,2022-09-23 18:21:20,,True,2022-09-29 17:48:01,0.0,2022-09-29 17:48:01,2022-09-29 17:47:24,2022-09-29 17:47:36
eui-000080029c07ae8c,000080029C07AE5D,IDU00452-Clixlogic-PWX,2022-09-22 22:46:56,,True,2022-09-29 17:48:05,0.0,2022-09-29 17:48:05,2022-09-29 13:50:22,2022-09-29 17:48:04
eui-000080029c07ae8e,000080029C07AE65,IDU00477-Two World Square BGC POC-PWX,,,False,,0.0,,,
eui-000080029c07ae91,000080029C07AE74,IDU00314-Winford Hotel Data Center,2022-09-13 11:12:29,,True,2022-09-29 17:48:15,0.0,2022-09-29 17:38:36,2022-09-29 17:23:24,2022-09-29 17:48:15
eui-000080029c07ae97,000080029C07AE78,IDU00371-Concentrix-UPA-G-GF Network Room 1-2,2022-09-22 22:46:46,,True,2022-09-29 17:47:39,0.0,2022-09-29 17:46:59,2022-09-28 19:20:51,2022-09-29 17:47:39
eui-000080029c07ae9b,000080029C07AE86,IDU00367-BPI Forbes Park-PWX (OC),,,False,,0.0,,,
eui-000080029c07ae9f,000080029C07AE8C,IDU00379-Concentrix-SHAW-PANTRY AREA,2022-09-26 09:09:28,,True,2022-09-29 17:47:53,0.0,2022-09-29 17:46:29,2022-09-29 17:00:43,2022-09-29 17:47:53
eui-000080029c07aeaf,[],IDU00318-DLSU Zobel-PWX,2022-09-22 22:47:01,,True,2022-09-29 17:48:20,0.0,2022-09-28 19:00:11,,2022-09-29 17:48:20
